image_name,matched_pattern_names,verdict
PDF_Edge_Case_11_page_1.jpg,,NO
PDF_Edge_Case_12_page_1.jpg,,NO
PDF_Edge_Case_12_page_2.jpg,,NO
PDF_Edge_Case_12_page_3.jpg,,NO
PDF_Edge_Case_12_page_4.jpg,,NO
PDF_Edge_Case_12_page_5.jpg,,NO
PDF_Edge_Case_12_page_6.jpg,,NO
PDF_Edge_Case_12_page_7.jpg,,NO
PDF_Edge_Case_13_page_1.jpg,,NO
PDF_Edge_Case_14_page_1.jpg,,NO
PDF_Edge_Case_14_page_2.jpg,,NO
PDF_Edge_Case_14_page_3.jpg,,NO
PDF_Edge_Case_14_page_4.jpg,,NO
PDF_Edge_Case_14_page_5.jpg,,NO
PDF_Edge_Case_14_page_6.jpg,,NO
PDF_Edge_Case_14_page_7.jpg,,NO
PDF_Edge_Case_14_page_8.jpg,,NO
PDF_Edge_Case_15_page_1.jpg,,NO
PDF_Edge_Case_15_page_2.jpg,,NO
PDF_Edge_Case_15_page_3.jpg,,NO
PDF_Normal_Doc_10_page_1.jpg,,NO
PDF_Normal_Doc_10_page_2.jpg,,NO
PDF_Normal_Doc_10_page_3.jpg,,NO
PDF_Normal_Doc_10_page_4.jpg,,NO
PDF_Normal_Doc_1_page_1.jpg,,NO
PDF_Normal_Doc_1_page_2.jpg,,NO
PDF_Normal_Doc_1_page_3.jpg,passport_word_exact,MAYBE
PDF_Normal_Doc_1_page_4.jpg,,NO
PDF_Normal_Doc_2_page_1.jpg,passport_word_exact,MAYBE
PDF_Normal_Doc_2_page_2.jpg,,NO
PDF_Normal_Doc_2_page_3.jpg,,NO
PDF_Normal_Doc_2_page_4.jpg,,NO
PDF_Normal_Doc_3_page_1.jpg,,NO
PDF_Normal_Doc_3_page_2.jpg,,NO
PDF_Normal_Doc_3_page_3.jpg,,NO
PDF_Normal_Doc_3_page_4.jpg,,NO
PDF_Normal_Doc_3_page_5.jpg,,NO
PDF_Normal_Doc_3_page_6.jpg,,NO
PDF_Normal_Doc_3_page_7.jpg,,NO
PDF_Normal_Doc_3_page_8.jpg,,NO
PDF_Normal_Doc_4_page_1.jpg,,NO
PDF_Normal_Doc_4_page_2.jpg,,NO
PDF_Normal_Doc_4_page_3.jpg,,NO
PDF_Normal_Doc_4_page_4.jpg,,NO
PDF_Normal_Doc_4_page_5.jpg,,NO
PDF_Normal_Doc_4_page_6.jpg,,NO
PDF_Normal_Doc_4_page_7.jpg,,NO
PDF_Normal_Doc_4_page_8.jpg,,NO
PDF_Normal_Doc_4_page_9.jpg,,NO
PDF_Normal_Doc_5_page_1.jpg,passport_word_exact,MAYBE
PDF_Normal_Doc_6_page_1.jpg,,NO
PDF_Normal_Doc_6_page_2.jpg,,NO
PDF_Normal_Doc_7_page_1.jpg,,NO
PDF_Normal_Doc_7_page_2.jpg,,NO
PDF_Normal_Doc_7_page_3.jpg,,NO
PDF_Normal_Doc_7_page_4.jpg,,NO
PDF_Normal_Doc_7_page_5.jpg,,NO
PDF_Normal_Doc_7_page_6.jpg,,NO
PDF_Normal_Doc_7_page_7.jpg,,NO
PDF_Normal_Doc_8_page_1.jpg,,NO
PDF_Normal_Doc_8_page_10.jpg,,NO
PDF_Normal_Doc_8_page_2.jpg,,NO
PDF_Normal_Doc_8_page_3.jpg,,NO
PDF_Normal_Doc_8_page_4.jpg,,NO
PDF_Normal_Doc_8_page_5.jpg,,NO
PDF_Normal_Doc_8_page_6.jpg,,NO
PDF_Normal_Doc_8_page_7.jpg,passport_word_exact,MAYBE
PDF_Normal_Doc_8_page_8.jpg,,NO
PDF_Normal_Doc_8_page_9.jpg,,NO
PDF_Normal_Doc_9_page_1.jpg,,NO
PDF_Normal_Doc_9_page_2.jpg,,NO
PDF_Normal_Doc_9_page_3.jpg,,NO
PDF_Normal_Doc_9_page_4.jpg,,NO
PDF_Normal_Doc_9_page_5.jpg,,NO
PDF_Normal_Doc_9_page_6.jpg,,NO
PDF_Normal_Doc_9_page_7.jpg,,NO
